amount,price,selling,paying ,type,year,date
2,480,T,K,W,1402,?
2,500,T,K,W,1402,?
2,500,I,K,W,1402,?
1,250,I,K,W,1402,?
0.5,120,T,c,W,1402,?
1,240,T,c,W,1402,?
2,240,T,c,W,1402,?
1,300,I,c,W,1402,?
2,470,I,K,W,1402,?
2,480,T,K,W,1402,?
1,240,R,i,W,1402,?
1,240,I,K,W,1402,?
3,720,T,c,W,1402,?
2.5,600,T,K,W,1402,?
2,480,I,K,W,1402,?
1,240,I,c,W,1402,?
0.75,180,I,K,W,1402,?
2,470,I,K,W,1402,?
1,240,I,c,W,1402,?
1,240,I,c,W,1402,?
2,480,I,K,W,1402,?
2,480,T,i,W,1402,?
2,500,I,c,W,1402,?
1,240,T,i,W,1402,?
3,1500,T,K,D,1402,?
3,1800,T,K,D,1402,?
3,600,I,i,W,1402,?
1,580,I,K,D,1402,?
0.2,135,?,K,D,1402,?
0.2,160,?,K,D,1402,?
2,950,I,K,D,1402,?
5,2250,I,K,D,1402,?
0.1,60,T,i,D,1402,?
3,1500,I,K,D,1402,?
0.1,60,T,i,D,1402,?
5,2350,I,K,D,1402,?
0.5,225,T,c,D,1402,?
0.5,225,T,K,D,1402,?
5,2250,I,K,D,1402,?
2,940,I,K,D,1402,?
2,900,I,K,D,1402,?
2,900,I,K,D,1402,?
2,900,I,K,D,1402,?
2,950,I,K,D,1402,?
2.8,2700,I,K,D,1402,?
3,2100,I,K,D,1402,?
1,580,I,K,D,1402,?
1,170,I,c,W,1403,?
2,300,?,K,W,1403,8/17/2024
2,400,?,K,W,1403,8/15/2024
1,200,?,K,W,1403,8/17/2024
2,300,?,K,W,1403,8/21/2024
1,200,?,c,W,1403,?
2,400,?,c,W,1403,?
5,1000,?,K,W,1403,8/23/2024
1,200,?,c,W,1403,?
3,600,?,K,W,1403,8/26/2024
3,600,?,K,W,1403,8/26/2024
2,400,?,c,W,1403,?
5,1000,?,K,W,1403,8/28/2024
5,1000,?,K,W,1403,8/29/2024
1,200,?,K,W,1403,8/31/2024
0.5,100,?,K,W,1403,9/1/2024
1,200,?,K,W,1403,9/1/2024
1,200,?,K,W,1403,9/1/2024
5,1000,?,K,W,1403,9/1/2024
1,200,?,K,W,1403,9/5/2024
10,1800,I,K,W,1403,9/5/2024
20,3600,I,K,W,1403,9/6/2024
2,400,?,c,W,1403,?
1,200,?,K,W,1403,9/7/2024
18.5,5430,I,K,W+D,1403,9/7/2024
5.5,1100,I,K,W,1403,9/7/2024
2,400,?,K,W,1403,9/8/2024
2,400,?,K,W,1403,?
1,200,?,K,W,1403,9/11/2024
7,1400,T,K,W,1403,9/12/2024
5,1000,?,K,W,1403,9/2/2024
5,1000,I,K,W,1403,9/8/2024
3,540,I,K,W,1403,9/8/2024
2,400,T,K,W,1403,9/13/2024
3,600,T,K,W,1403,9/13/2024
6,1200,T,K,W,1403,9/13/2024
5,1000,T,K,W,1403,9/24/2024
1,200,T,K,W,1403,9/15/2024
1,200,T,K,W,1403,9/17/2024
2,400,T,K,W,1403,9/17/2024
1.5,300,T,K,W,1403,9/21/2024
1,200,T,K,W,1403,9/17/2024
2,400,?,c,W,1403,?
2,400,?,c,W,1403,?
3,600,?,c,W,1403,?
1,200,?,c,W,1403,?
2,400,?,c,W,1403,?
2,400,?,c,W,1403,?
1,200,T,K,W,1403,9/18/2024
5,1000,T,K,W,1403,9/19/2024
2,380,T,K,W,1403,9/19/2024
2,400,?,c,W,1403,?
2,400,?,c,W,1403,?
4,800,?,K,W,1403,9/29/2024
1,200,T,K,W,1403,9/20/2024
2,400,T,K,W,1403,9/21/2024
2,400,T,K,W,1403,9/22/2024
4,800,T,K,W,1403,10/2/2024
3,600,T,K,W,1403,10/7/2024
1,600,?,c,D,1403,?
3,2000,T,K,D,1403,11/4/2024
5,1000,T,K,W,1403,11/29/2024
1,600,T,K,D,1403,11/5/2024
0.5,300,T,K,D,1403,11/16/2024
3,2000,T,K,D,1403,11/14/2024
1,600,T,K,D,1403,12/1/2024
1,600,T,K,D,1403,12/19/2024
?,1860,T,K,W+D,1403,2/6/2025
2,600,I,K,W,1404,8/23/2025
1,350,T,K,W,1404,8/23/2025
1,350,T,K,W,1404,8/23/2025
2.5,800,I,K,W,1404,8/24/2025
1,300,I,C,W,1404,8/24/2025
5,1500,I,K,W,1404,8/24/2025
3,900,I,K,W,1404,8/26/2025
3,600,I,C,W,1404,8/26/2025
2,300,I,K,W,1404,8/27/2025
3,900,I,K,W,1404,8/27/2025
2,600,I,K,W,1404,9/1/2025
2,600,I,C,W,1404,9/2/2025
1,300,T,K,W,1404,9/2/2025
2,600,T,K,W,1404,9/4/2025
2,600,T,K,W,1404,9/4/2025
5,1400,I,K,W,1404,9/6/2025
4,1200,I,K,W,1404,9/7/2025
1,300,I,K,W,1404,9/7/2025
3,900,I,K,W,1404,9/7/2025
1,300,T,K,W,1404,?
1,300,T,K,W,1404,9/10/2025
2,2000,T,K,D,1404,9/21/2025
1,900,T,K,D,1404,10/24/2025
2,1800,T,K,D,1404,10/31/2025
0.6,500,T,C,D,1404,10/31/2025
2,1800,T,K,D,1404,11/2/2025
4.5,8000,I,K,D,1404,5/10/2026
